ENSG00000007237.19	1.7041
ENSG00000007255.10	158.4461
ENSG00000007264.15	0.0837
ENSG00000007306.15	0.0000
ENSG00000007312.13	0.1959
ENSG00000007314.12	0.0000
ENSG00000007341.19	5.5011
ENSG00000007350.17	0.0327
ENSG00000007372.24	0.0280
ENSG00000007376.8	35.5709
ENSG00000007384.15	50.2096
ENSG00000007392.17	23.9643
ENSG00000007402.12	5.4793
ENSG00000007516.14	25.1433
ENSG00000007520.4	89.3175
ENSG00000007541.17	17.5468
ENSG00000007545.16	5.0948
ENSG00000007866.22	61.5806
ENSG00000007908.16	3.8878
ENSG00000007923.16	7.7646
ENSG00000007933.13	0.3356
ENSG00000007944.15	46.3374
ENSG00000007952.18	4.7422
ENSG00000007968.7	1.0775
ENSG00000008018.9	213.7463
ENSG00000008056.14	0.3246
ENSG00000008083.14	10.1559
ENSG00000008086.13	2.0621
ENSG00000008118.10	0.3814
ENSG00000008128.23	1.0666
ENSG00000008130.15	28.2911
ENSG00000008196.13	0.0000
ENSG00000008197.5	0.0000
ENSG00000008226.20	0.3737
ENSG00000008256.16	15.7069
ENSG00000008277.14	2.1048
ENSG00000008282.9	112.7068
ENSG00000008283.16	164.8447
ENSG00000008294.21	9.5477
ENSG00000008300.17	0.7207
ENSG00000008311.15	16.5207
ENSG00000008323.15	1.2190
ENSG00000008324.12	47.1343
ENSG00000008382.16	26.4710
ENSG00000008394.13	91.5184
ENSG00000008405.12	10.7269
ENSG00000008438.5	0.2445
ENSG00000008441.18	156.3085
ENSG00000008513.16	1.1538
ENSG00000008516.17	0.3397
ENSG00000008517.18	4.8189
ENSG00000008710.20	3.5118
ENSG00000008735.14	11.5044
ENSG00000008838.20	25.8254
ENSG00000008853.17	2.7842
ENSG00000008869.12	18.4002
ENSG00000008952.17	55.8306
ENSG00000008988.11	1063.3803
ENSG00000009307.16	266.0062
ENSG00000009335.18	17.4637
ENSG00000009413.16	3.3622
ENSG00000009694.13	11.0382
ENSG00000009709.12	0.0000
ENSG00000009724.17	0.4066
ENSG00000009765.15	0.4065
ENSG00000009780.16	9.9258
ENSG00000009790.15	0.3574
ENSG00000009830.12	3.0848
ENSG00000009844.16	13.9125
ENSG00000009950.16	0.4554
ENSG00000009954.11	51.0238
ENSG00000010017.13	34.1932
ENSG00000010030.14	0.3889
ENSG00000010072.16	3.4683
ENSG00000010165.20	10.4829
ENSG00000010219.13	9.3333
ENSG00000010244.19	15.2479
ENSG00000010256.11	160.7851
ENSG00000010270.14	39.3793
ENSG00000010278.15	199.6325
ENSG00000010282.15	0.0799
ENSG00000010292.13	17.7384
ENSG00000010295.20	2.1353
ENSG00000010310.9	0.0569
ENSG00000010318.21	7.9073
ENSG00000010319.7	2.7324
ENSG00000010322.16	40.9995
ENSG00000010327.10	2.7739
ENSG00000010361.14	18.4651
ENSG00000010379.16	0.2040
ENSG00000010404.18	0.3725
ENSG00000010438.17	0.0405
ENSG00000010539.12	1.9701
ENSG00000010610.10	2.1399
ENSG00000010626.15	9.5286
ENSG00000010671.16	0.5297
ENSG00000010704.18	1.0269
ENSG00000010803.16	57.9087
ENSG00000010810.17	2.6005
ENSG00000010818.10	4.8251
ENSG00000010932.17	0.2563
